Report Refresh Date,Report Period,Report Date,ActiveChannelUsers,ActiveChannels,ChannelMessages,Guests,Reactions,Meetings Organized,Post Messages,Reply Messages,Urgent Messages,Mentions,Active Shared Channels,Active External Users
2022-09-10,180,2022-06-30,717,308,119,10,2,7,24,57,0,26,0,0
2022-09-10,180,2022-06-29,751,308,134,12,1,3,23,71,0,30,0,0
2022-09-10,180,2022-06-28,785,292,101,9,4,7,22,45,0,23,0,0
2022-09-10,180,2022-06-27,779,300,101,9,3,2,25,48,0,17,0,0
2022-09-10,180,2022-06-26,140,86,9,1,3,0,1,6,0,2,0,0
2022-09-10,180,2022-06-25,127,77,11,2,0,1,2,4,0,1,0,0
2022-09-10,180,2022-06-24,595,256,92,10,8,0,17,40,0,8,0,0
2022-09-10,180,2022-06-23,644,294,152,5,5,5,15,67,0,23,0,0
2022-09-10,180,2022-06-22,653,279,130,8,16,3,40,52,0,29,0,0
2022-09-10,180,2022-06-21,752,308,107,16,7,13,26,49,0,22,0,0
2022-09-10,180,2022-06-20,784,324,92,9,5,4,21,43,0,25,0,0
2022-09-10,180,2022-06-19,151,101,5,0,0,4,2,0,0,0,0,0
2022-09-10,180,2022-06-18,128,98,1,1,0,0,0,1,0,0,0,0
2022-09-10,180,2022-06-17,661,310,105,10,9,3,19,55,0,30,0,0
2022-09-10,180,2022-06-16,720,335,148,10,4,2,25,101,0,37,0,0
2022-09-10,180,2022-06-15,745,311,86,11,2,2,18,40,0,36,0,0
2022-09-10,180,2022-06-14,791,324,132,10,6,1,29,71,0,33,0,0
2022-09-10,180,2022-06-13,834,342,131,10,6,2,33,70,0,32,0,0
2022-09-10,180,2022-06-12,210,113,9,2,1,1,2,4,0,4,0,0
2022-09-10,180,2022-06-11,126,87,4,2,0,0,3,1,0,7,0,0
2022-09-10,180,2022-06-10,747,325,137,13,2,3,35,82,0,48,0,0
2022-09-10,180,2022-06-09,731,313,120,11,8,4,30,70,0,39,0,0
2022-09-10,180,2022-06-08,743,309,118,11,5,1,32,63,0,26,0,0
2022-09-10,180,2022-06-07,878,352,132,8,13,2,33,68,0,49,0,0
2022-09-10,180,2022-06-06,953,347,196,14,14,1,55,104,0,64,0,0
2022-09-10,180,2022-06-05,212,122,11,2,0,1,3,7,0,8,0,0
2022-09-10,180,2022-06-04,163,96,5,0,0,0,3,2,0,1,0,0
2022-09-10,180,2022-06-03,757,313,162,11,8,4,35,98,0,43,0,0
2022-09-10,180,2022-06-02,792,325,157,9,5,2,31,83,0,56,0,0
2022-09-10,180,2022-06-01,230,119,27,1,0,0,9,10,0,9,0,0
2022-09-10,180,2022-05-31,794,296,207,11,4,3,24,153,0,42,0,0
2022-09-10,180,2022-05-30,909,311,153,13,6,1,41,76,0,46,0,0
2022-09-10,180,2022-05-29,185,116,10,2,1,1,8,1,0,2,0,0
2022-09-10,180,2022-05-28,125,75,11,1,0,0,3,5,0,2,0,0
2022-09-10,180,2022-05-27,743,298,138,5,2,4,36,77,0,26,0,0
2022-09-10,180,2022-05-26,160,88,21,1,0,1,1,4,0,2,0,0
2022-09-10,180,2022-05-25,798,277,106,10,3,9,24,56,0,42,0,0
2022-09-10,180,2022-05-24,897,319,130,15,9,5,24,67,0,28,0,0
2022-09-10,180,2022-05-23,939,361,138,13,19,5,30,82,0,49,0,0
2022-09-10,180,2022-05-22,227,126,2,0,4,0,1,0,0,0,0,0
2022-09-10,180,2022-05-21,166,95,0,1,0,0,0,0,0,0,0,0
2022-09-10,180,2022-05-20,823,290,169,13,1,3,26,108,0,38,0,0
2022-09-10,180,2022-05-19,875,333,128,9,0,2,32,66,0,17,0,0
2022-09-10,180,2022-05-18,885,303,131,7,1,3,25,72,0,24,0,0
2022-09-10,180,2022-05-17,1054,339,250,7,12,3,39,152,0,57,0,0
2022-09-10,180,2022-05-16,347,157,18,0,1,1,5,10,0,7,0,0
2022-09-10,180,2022-05-15,160,91,9,0,0,0,2,6,0,1,0,0
2022-09-10,180,2022-05-14,204,85,4,1,2,0,0,3,0,0,0,0
2022-09-10,180,2022-05-13,1169,320,158,11,15,2,39,76,0,26,0,0
2022-09-10,180,2022-05-12,1548,348,190,11,3,2,29,130,0,41,0,0
2022-09-10,180,2022-05-11,741,289,256,5,9,6,48,146,0,42,0,0
2022-09-10,180,2022-05-10,722,311,175,6,9,8,37,92,0,52,0,0
2022-09-10,180,2022-05-09,700,307,130,6,4,8,25,57,0,30,0,0
2022-09-10,180,2022-05-08,127,98,1,2,0,2,0,0,0,0,0,0
2022-09-10,180,2022-05-07,47,42,0,0,0,0,0,0,0,0,0,0
2022-09-10,180,2022-05-06,74,61,1,1,0,0,0,0,0,0,0,0
2022-09-10,180,2022-05-05,44,30,0,1,0,0,0,0,0,0,0,0
2022-09-10,180,2022-05-04,42,31,0,1,0,0,0,0,0,0,0,0
2022-09-10,180,2022-05-03,40,31,0,0,0,0,0,0,0,0,0,0
2022-09-10,180,2022-05-02,24,22,0,0,0,0,0,0,0,0,0,0
2022-09-10,180,2022-05-01,51,38,0,1,0,0,0,0,0,0,0,0
2022-09-10,180,2022-04-30,60,49,1,1,0,0,1,0,0,0,0,0
2022-09-10,180,2022-04-29,79,58,0,0,1,0,0,0,0,0,0,0
2022-09-10,180,2022-04-28,617,286,107,8,4,1,13,45,0,34,0,0
2022-09-10,180,2022-04-27,802,306,133,8,11,2,22,75,0,41,0,0
2022-09-10,180,2022-04-26,709,301,117,15,3,3,28,55,0,45,0,0
2022-09-10,180,2022-04-25,801,312,133,9,3,5,28,83,0,32,0,0
2022-09-10,180,2022-04-24,200,119,16,1,2,1,1,8,0,1,0,0
2022-09-10,180,2022-04-23,153,85,0,3,0,0,0,0,0,0,0,0
2022-09-10,180,2022-04-22,779,283,114,11,6,1,18,68,0,34,0,0
2022-09-10,180,2022-04-21,779,332,125,15,2,4,28,63,0,23,0,0
2022-09-10,180,2022-04-20,854,318,112,13,1,1,27,50,0,20,0,0
2022-09-10,180,2022-04-19,840,338,129,19,0,9,27,71,0,32,0,0
2022-09-10,180,2022-04-18,977,363,211,15,6,10,38,134,0,57,0,0
2022-09-10,180,2022-04-17,275,145,28,2,0,0,2,25,0,1,0,0
2022-09-10,180,2022-04-16,202,113,8,3,0,0,0,2,0,5,0,0
2022-09-10,180,2022-04-15,280,115,2,3,0,0,1,0,0,1,0,0
2022-09-10,180,2022-04-14,985,339,215,12,3,3,33,132,0,59,0,0
2022-09-10,180,2022-04-13,990,328,138,14,5,6,38,73,0,36,0,0
2022-09-10,180,2022-04-12,950,344,145,10,5,4,36,69,0,22,0,0
2022-09-10,180,2022-04-11,1093,367,157,13,3,1,32,93,0,34,0,0
2022-09-10,180,2022-04-10,322,145,14,2,1,3,4,2,0,1,0,0
2022-09-10,180,2022-04-09,203,89,0,2,0,0,0,0,0,0,0,0
2022-09-10,180,2022-04-08,1023,338,102,10,1,3,28,55,0,34,0,0
2022-09-10,180,2022-04-07,1127,327,82,7,3,4,17,39,0,42,0,0
2022-09-10,180,2022-04-06,1844,422,150,9,4,4,41,71,0,41,0,0
