Report Refresh Date,Report Period,Report Date,Outlook,Word,Excel,PowerPoint,OneNote,Teams
2022-09-09,180,2022-05-09,229,907,1216,596,24,3375
2022-09-09,180,2022-05-08,88,272,497,197,11,1404
2022-09-09,180,2022-05-07,41,145,266,104,8,876
2022-09-09,180,2022-05-06,33,145,226,68,7,1002
2022-09-09,180,2022-05-05,40,132,129,61,8,694
2022-09-09,180,2022-05-04,40,96,121,43,6,783
2022-09-09,180,2022-05-03,26,88,97,24,4,800
2022-09-09,180,2022-05-02,38,74,88,38,8,563
2022-09-09,180,2022-05-01,64,139,172,62,14,1140
2022-09-09,180,2022-04-30,53,149,221,67,14,1057
2022-09-09,180,2022-04-29,67,232,346,84,18,1360
2022-09-09,180,2022-04-28,236,1035,1163,467,50,3567
2022-09-09,180,2022-04-27,260,1267,1297,675,58,3740
2022-09-09,180,2022-04-26,252,1052,1223,573,57,3775
2022-09-09,180,2022-04-25,241,1148,1356,674,26,3851
2022-09-09,180,2022-04-24,121,584,660,318,26,2153
2022-09-09,180,2022-04-23,95,282,435,176,20,1778
2022-09-09,180,2022-04-22,227,839,1243,522,27,3742
2022-09-09,180,2022-04-21,250,1047,1376,646,59,3892
2022-09-09,180,2022-04-20,252,1078,1313,664,62,3890
2022-09-09,180,2022-04-19,254,1243,1397,802,28,3876
2022-09-09,180,2022-04-18,254,1536,1644,874,64,3948
2022-09-09,180,2022-04-17,136,579,713,408,18,2286
2022-09-09,180,2022-04-16,101,437,528,311,30,1890
2022-09-09,180,2022-04-15,117,341,526,277,24,1984
2022-09-09,180,2022-04-14,246,967,1343,577,62,3914
2022-09-09,180,2022-04-13,238,861,1252,581,62,4033
2022-09-09,180,2022-04-12,245,1041,1287,634,58,3852
2022-09-09,180,2022-04-11,255,1251,1407,849,67,3988
2022-09-09,180,2022-04-10,149,519,614,411,32,2400
2022-09-09,180,2022-04-09,121,434,513,315,17,2064
2022-09-09,180,2022-04-08,244,1067,1317,657,61,3836
2022-09-09,180,2022-04-07,239,953,1306,705,71,3975
2022-09-09,180,2022-04-06,248,977,1241,748,64,4088
2022-09-09,180,2022-04-05,243,1311,1415,841,39,3882
2022-09-09,180,2022-04-04,267,1355,1636,893,39,3935
2022-09-09,180,2022-04-03,125,409,630,360,38,2284
2022-09-09,180,2022-04-02,95,315,448,222,24,1741
2022-09-09,180,2022-04-01,232,1071,1267,749,64,3739
2022-09-09,180,2022-03-31,236,1079,1202,636,71,3854
2022-09-09,180,2022-03-30,228,1198,1244,722,64,3797
2022-09-09,180,2022-03-29,245,1185,1274,730,72,3709
2022-09-09,180,2022-03-28,255,1162,1291,811,80,3795
2022-09-09,180,2022-03-27,130,520,601,342,29,1961
2022-09-09,180,2022-03-26,112,309,436,212,26,1648
2022-09-09,180,2022-03-25,219,849,1165,570,67,3660
2022-09-09,180,2022-03-24,243,944,1188,667,23,3894
2022-09-09,180,2022-03-23,233,958,1199,662,61,3928
2022-09-09,180,2022-03-22,247,1250,1275,703,21,3814
2022-09-09,180,2022-03-21,246,1125,1288,713,34,3839
2022-09-09,180,2022-03-20,122,367,481,242,28,2028
2022-09-09,180,2022-03-19,89,328,406,213,22,1579
2022-09-09,180,2022-03-18,227,1071,1159,665,71,3705
2022-09-09,180,2022-03-17,246,1311,1264,732,73,3877
2022-09-09,180,2022-03-16,238,1099,1188,691,73,3842
2022-09-09,180,2022-03-15,248,1268,1240,766,70,3942
2022-09-09,180,2022-03-14,253,1285,1431,738,41,3950
