Report Refresh Date,Site Type,Storage Used (Byte),Report Date,Report Period
2022-09-10,All,112355403461562,2022-04-28,180
2022-09-10,OneDrive,112204131731765,2022-04-27,180
2022-09-10,All,112204131731765,2022-04-27,180
2022-09-10,OneDrive,112237289888028,2022-04-26,180
2022-09-10,All,112237289888028,2022-04-26,180
2022-09-10,OneDrive,112237289888028,2022-04-25,180
2022-09-10,All,112237289888028,2022-04-25,180
2022-09-10,OneDrive,112237289888028,2022-04-24,180
2022-09-10,All,112237289888028,2022-04-24,180
2022-09-10,OneDrive,112237289888028,2022-04-23,180
2022-09-10,All,112237289888028,2022-04-23,180
2022-09-10,OneDrive,112146572833943,2022-04-22,180
2022-09-10,All,112146572833943,2022-04-22,180
2022-09-10,OneDrive,112146572833943,2022-04-21,180
2022-09-10,All,112146572833943,2022-04-21,180
2022-09-10,OneDrive,112952979935505,2022-04-20,180
2022-09-10,All,112952979935505,2022-04-20,180
2022-09-10,OneDrive,112674962468939,2022-04-19,180
2022-09-10,All,112674962468939,2022-04-19,180
2022-09-10,OneDrive,112366101120559,2022-04-18,180
2022-09-10,All,112366101120559,2022-04-18,180
2022-09-10,OneDrive,111985164576862,2022-04-17,180
2022-09-10,All,111985164576862,2022-04-17,180
2022-09-10,OneDrive,111985164576862,2022-04-16,180
2022-09-10,All,111985164576862,2022-04-16,180
2022-09-10,OneDrive,112350328154507,2022-04-15,180
2022-09-10,All,112350328154507,2022-04-15,180
2022-09-10,OneDrive,111845635680535,2022-04-14,180
2022-09-10,All,111845635680535,2022-04-14,180
2022-09-10,OneDrive,111845635680535,2022-04-13,180
2022-09-10,All,111845635680535,2022-04-13,180
2022-09-10,OneDrive,111228432364571,2022-04-12,180
2022-09-10,All,111228432364571,2022-04-12,180
2022-09-10,OneDrive,110702846356026,2022-04-11,180
2022-09-10,All,110702846356026,2022-04-11,180
2022-09-10,OneDrive,110435575377835,2022-04-10,180
2022-09-10,All,110435575377835,2022-04-10,180
2022-09-10,OneDrive,110435575377835,2022-04-09,180
2022-09-10,All,110435575377835,2022-04-09,180
2022-09-10,OneDrive,110435575377835,2022-04-08,180
2022-09-10,All,110435575377835,2022-04-08,180
2022-09-10,OneDrive,110042697210284,2022-04-07,180
2022-09-10,All,110042697210284,2022-04-07,180
2022-09-10,OneDrive,110335672784207,2022-04-06,180
2022-09-10,All,110335672784207,2022-04-06,180
2022-09-10,OneDrive,110261380917232,2022-04-05,180
2022-09-10,All,110261380917232,2022-04-05,180
2022-09-10,OneDrive,110007176424491,2022-04-04,180
2022-09-10,All,110007176424491,2022-04-04,180
2022-09-10,OneDrive,109821968556131,2022-04-03,180
2022-09-10,All,109821968556131,2022-04-03,180
2022-09-10,OneDrive,109821968556131,2022-04-02,180
2022-09-10,All,109821968556131,2022-04-02,180
2022-09-10,OneDrive,109419277229311,2022-04-01,180
2022-09-10,All,109419277229311,2022-04-01,180
2022-09-10,OneDrive,109750690579252,2022-03-31,180
2022-09-10,All,109750690579252,2022-03-31,180
2022-09-10,OneDrive,108291968950463,2022-03-30,180
2022-09-10,All,108291968950463,2022-03-30,180
2022-09-10,OneDrive,108291968950463,2022-03-29,180
2022-09-10,All,108291968950463,2022-03-29,180
2022-09-10,OneDrive,108291968950463,2022-03-28,180
2022-09-10,All,108291968950463,2022-03-28,180
2022-09-10,OneDrive,107923583461752,2022-03-27,180
2022-09-10,All,107923583461752,2022-03-27,180
2022-09-10,OneDrive,107752789706304,2022-03-26,180
2022-09-10,All,107752789706304,2022-03-26,180
2022-09-10,OneDrive,107807433894246,2022-03-25,180
2022-09-10,All,107807433894246,2022-03-25,180
2022-09-10,OneDrive,107450720033087,2022-03-24,180
2022-09-10,All,107450720033087,2022-03-24,180
2022-09-10,OneDrive,107450720033087,2022-03-23,180
2022-09-10,All,107450720033087,2022-03-23,180
2022-09-10,OneDrive,107328342763638,2022-03-22,180
2022-09-10,All,107328342763638,2022-03-22,180
2022-09-10,OneDrive,106947413674895,2022-03-21,180
2022-09-10,All,106947413674895,2022-03-21,180
2022-09-10,OneDrive,106630971611357,2022-03-20,180
2022-09-10,All,106630971611357,2022-03-20,180
2022-09-10,OneDrive,106535162121223,2022-03-19,180
2022-09-10,All,106535162121223,2022-03-19,180
2022-09-10,OneDrive,106443171662625,2022-03-18,180
2022-09-10,All,106443171662625,2022-03-18,180
2022-09-10,OneDrive,106073127675112,2022-03-17,180
2022-09-10,All,106073127675112,2022-03-17,180
2022-09-10,OneDrive,105743945025656,2022-03-16,180
2022-09-10,All,105743945025656,2022-03-16,180
2022-09-10,OneDrive,105643966664676,2022-03-15,180
2022-09-10,All,105643966664676,2022-03-15,180
